epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,281.918,1.4398,2.95874,1.26366,0.00341,0.92708,0.36374,0.21156,1.23652,3.55899,1.13003,0.00042,0.00042,0.00042
2,548.759,1.49866,2.02933,1.24146,0.00303,0.82292,0.12122,0.05476,1.42652,3.8422,1.32947,0.000851486,0.000851486,0.000851486
3,812.503,1.50631,1.83818,1.26186,0.1791,0.11458,0.0769,0.03728,1.52363,3.64563,1.50393,0.00127426,0.00127426,0.00127426
4,1046.24,1.55257,1.82124,1.32048,0.09142,0.07292,0.05173,0.02664,1.76169,4.91331,1.78223,0.00168832,0.00168832,0.00168832
5,1279.31,1.52665,1.67632,1.28644,0.20908,0.23958,0.16261,0.06989,1.74448,4.0934,1.54602,0.0019208,0.0019208,0.0019208
6,1511.48,1.48283,1.44665,1.26108,0.7871,0.64583,0.66613,0.38907,1.63596,1.92288,1.45331,0.001901,0.001901,0.001901
7,1747.32,1.46877,1.3805,1.28059,0.71629,0.64583,0.66202,0.38186,1.50572,2.08098,1.36694,0.0018812,0.0018812,0.0018812
8,1977.49,1.49881,1.33159,1.27016,0.7143,0.70833,0.72873,0.41043,1.57258,1.59031,1.38116,0.0018614,0.0018614,0.0018614
9,2208,1.44421,1.2297,1.24414,0.58559,0.625,0.60435,0.27931,1.70903,1.87961,1.53516,0.0018416,0.0018416,0.0018416
10,2440.87,1.4166,1.16833,1.24587,0.72563,0.80208,0.79965,0.3984,1.56537,1.36849,1.42448,0.0018218,0.0018218,0.0018218
11,2675.41,1.42296,1.12506,1.2052,0.75495,0.64187,0.66972,0.36878,1.58862,1.55567,1.44935,0.001802,0.001802,0.001802
12,2910.53,1.40968,1.11789,1.19815,0.74552,0.75,0.78556,0.41496,1.50499,1.44819,1.32307,0.0017822,0.0017822,0.0017822
13,3147.51,1.45708,1.06363,1.2184,0.80095,0.71259,0.77804,0.41956,1.5353,1.27719,1.37958,0.0017624,0.0017624,0.0017624
14,3385.89,1.37578,0.98476,1.2411,0.78446,0.75823,0.76429,0.41697,1.50669,1.2252,1.35407,0.0017426,0.0017426,0.0017426
15,3625.26,1.39872,1.02569,1.21897,0.72372,0.78125,0.71018,0.39389,1.54582,1.20625,1.31387,0.0017228,0.0017228,0.0017228
16,3868.47,1.40821,0.94644,1.20529,0.85552,0.71875,0.79967,0.44134,1.44343,1.30768,1.3584,0.001703,0.001703,0.001703
17,4102.68,1.38342,0.98352,1.22276,0.856,0.78125,0.80551,0.46884,1.48933,1.17165,1.37862,0.0016832,0.0016832,0.0016832
18,4345,1.38402,0.976,1.21008,0.83855,0.75746,0.79842,0.47982,1.38146,1.09453,1.27904,0.0016634,0.0016634,0.0016634
19,4583.35,1.35937,0.92944,1.1957,0.77873,0.67708,0.70992,0.42029,1.52867,1.19774,1.42986,0.0016436,0.0016436,0.0016436
20,4822.51,1.33221,0.91244,1.18393,0.79912,0.72917,0.7701,0.42521,1.52914,1.1769,1.33782,0.0016238,0.0016238,0.0016238
21,5073.38,1.33478,0.86443,1.14843,0.81286,0.81444,0.81813,0.47917,1.39576,1.05805,1.28141,0.001604,0.001604,0.001604
22,5307.77,1.29384,0.84623,1.16703,0.83383,0.73181,0.81342,0.47957,1.42327,1.04879,1.31637,0.0015842,0.0015842,0.0015842
23,5531.2,1.29172,0.83722,1.15757,0.75357,0.73264,0.75908,0.46038,1.47489,1.08818,1.38958,0.0015644,0.0015644,0.0015644
24,5753.61,1.29678,0.84135,1.14892,0.8644,0.79688,0.81622,0.50676,1.35695,0.91298,1.28238,0.0015446,0.0015446,0.0015446
25,5978.39,1.36188,0.8512,1.16407,0.86014,0.77083,0.82454,0.48643,1.41662,1.01718,1.32142,0.0015248,0.0015248,0.0015248
26,6200.25,1.30096,0.82426,1.15368,0.76172,0.75,0.77007,0.44514,1.4551,1.02578,1.33592,0.001505,0.001505,0.001505
27,6422.28,1.31161,0.82114,1.15344,0.81211,0.81044,0.83548,0.52738,1.33932,0.91942,1.29222,0.0014852,0.0014852,0.0014852
28,6646.67,1.24811,0.77979,1.13132,0.86921,0.83078,0.83036,0.52962,1.29802,0.94076,1.2271,0.0014654,0.0014654,0.0014654
29,6868.3,1.22156,0.7705,1.11266,0.81279,0.82292,0.81419,0.51936,1.30249,0.94156,1.25475,0.0014456,0.0014456,0.0014456
30,7086.69,1.24663,0.76259,1.12316,0.83843,0.86491,0.88843,0.53448,1.35749,0.87506,1.25303,0.0014258,0.0014258,0.0014258
31,7306.07,1.2783,0.78489,1.13538,0.9008,0.75673,0.84266,0.51231,1.36119,0.90566,1.26702,0.001406,0.001406,0.001406
32,7531.35,1.22759,0.74699,1.12929,0.82831,0.78125,0.81203,0.51486,1.33793,0.943,1.26557,0.0013862,0.0013862,0.0013862
33,7764.67,1.21584,0.73127,1.11966,0.81339,0.78125,0.81082,0.47444,1.41892,1.04172,1.27547,0.0013664,0.0013664,0.0013664
34,8000.87,1.25013,0.73656,1.14056,0.89603,0.77083,0.83772,0.48728,1.40655,0.97512,1.30117,0.0013466,0.0013466,0.0013466
35,8238.23,1.24452,0.77086,1.13542,0.82599,0.79167,0.80669,0.51993,1.30108,0.93007,1.24507,0.0013268,0.0013268,0.0013268
36,8477.43,1.24193,0.72467,1.15167,0.85214,0.78043,0.81122,0.50068,1.373,0.98308,1.28481,0.001307,0.001307,0.001307
37,8720.41,1.26702,0.73732,1.13894,0.89356,0.75,0.82407,0.51957,1.31799,0.8876,1.24109,0.0012872,0.0012872,0.0012872
38,8959.71,1.17937,0.69936,1.10432,0.88278,0.77083,0.80587,0.49142,1.37463,0.90436,1.30953,0.0012674,0.0012674,0.0012674
39,9194.56,1.21101,0.71883,1.12878,0.88829,0.7455,0.80014,0.47536,1.40724,0.91907,1.27243,0.0012476,0.0012476,0.0012476
40,9430.46,1.16873,0.69929,1.09434,0.85078,0.8125,0.84943,0.53978,1.32827,0.95224,1.25034,0.0012278,0.0012278,0.0012278
41,9668.43,1.16533,0.72226,1.11146,0.88558,0.69792,0.80132,0.52736,1.29788,0.92262,1.24241,0.001208,0.001208,0.001208
42,9905.75,1.1723,0.70213,1.12621,0.84357,0.77083,0.80079,0.49234,1.43672,0.99303,1.30436,0.0011882,0.0011882,0.0011882
43,10147.9,1.18085,0.69129,1.12498,0.82086,0.79167,0.80592,0.51298,1.33394,1.01448,1.27645,0.0011684,0.0011684,0.0011684
44,10394.5,1.1815,0.67136,1.1013,0.8794,0.75958,0.81257,0.51412,1.35536,1.00395,1.31974,0.0011486,0.0011486,0.0011486
45,10641.2,1.2118,0.68668,1.12384,0.87112,0.6875,0.7384,0.43501,1.41005,1.05084,1.34495,0.0011288,0.0011288,0.0011288
46,10888.5,1.25187,0.69066,1.11066,0.86103,0.77083,0.81337,0.51847,1.30876,0.93452,1.2807,0.001109,0.001109,0.001109
47,11137.1,1.17983,0.65508,1.08053,0.89576,0.79167,0.85229,0.54942,1.2743,0.87077,1.25668,0.0010892,0.0010892,0.0010892
48,11387.7,1.10989,0.62896,1.06707,0.82634,0.79167,0.84196,0.55222,1.28598,0.82387,1.27032,0.0010694,0.0010694,0.0010694
49,11637.5,1.08677,0.62962,1.0496,0.86836,0.7559,0.81847,0.5317,1.34717,0.84361,1.27825,0.0010496,0.0010496,0.0010496
50,11887.3,1.14347,0.6706,1.12053,0.86779,0.82048,0.83229,0.5375,1.29974,0.87293,1.25135,0.0010298,0.0010298,0.0010298
51,12136.4,1.13179,0.658,1.06612,0.80852,0.84375,0.81788,0.50197,1.34878,0.84541,1.26205,0.00101,0.00101,0.00101
52,12389.5,1.07597,0.64042,1.06328,0.86916,0.76119,0.79188,0.50434,1.35077,0.82011,1.31581,0.0009902,0.0009902,0.0009902
53,12619.9,1.11897,0.62383,1.08647,0.88822,0.78125,0.81848,0.5105,1.41324,0.86545,1.33027,0.0009704,0.0009704,0.0009704
54,12841.4,1.08724,0.6365,1.06583,0.85436,0.75,0.79858,0.52643,1.31956,0.88586,1.26714,0.0009506,0.0009506,0.0009506
55,13061.3,1.11298,0.63214,1.0442,0.8912,0.73958,0.81152,0.5136,1.39276,0.91023,1.3054,0.0009308,0.0009308,0.0009308
56,13283.3,1.12182,0.63584,1.06427,0.86879,0.77083,0.80249,0.51094,1.34667,0.90377,1.28938,0.000911,0.000911,0.000911
57,13504.5,1.07433,0.62606,1.05635,0.84402,0.78915,0.80432,0.51359,1.35991,0.89396,1.32975,0.0008912,0.0008912,0.0008912
58,13727.4,1.11523,0.63633,1.08333,0.81262,0.77083,0.77751,0.50199,1.33591,0.92868,1.3019,0.0008714,0.0008714,0.0008714
59,13949.8,1.10108,0.58952,1.06832,0.83197,0.79167,0.79979,0.52075,1.32371,0.88541,1.28425,0.0008516,0.0008516,0.0008516
60,14171.9,1.07886,0.59536,1.04971,0.83307,0.83174,0.80818,0.52707,1.34465,0.7932,1.30697,0.0008318,0.0008318,0.0008318
61,14393.9,1.03965,0.59989,1.05987,0.8534,0.80208,0.79951,0.50542,1.36913,0.82326,1.32171,0.000812,0.000812,0.000812
62,14615.2,1.07111,0.60359,1.07086,0.84447,0.80208,0.80232,0.51958,1.35191,0.8416,1.30838,0.0007922,0.0007922,0.0007922
63,14843.5,1.07694,0.58501,1.06206,0.88565,0.80685,0.82863,0.53554,1.33262,0.81126,1.27051,0.0007724,0.0007724,0.0007724
64,15092.3,1.0535,0.57469,1.0504,0.81019,0.82292,0.81285,0.52462,1.31602,0.81563,1.26904,0.0007526,0.0007526,0.0007526
65,15333.7,1.03292,0.57415,1.04087,0.85946,0.76042,0.80698,0.53093,1.33936,0.81297,1.24333,0.0007328,0.0007328,0.0007328
66,15587.1,0.977,0.55584,1.02987,0.85319,0.8125,0.82481,0.54554,1.36951,0.83705,1.29816,0.000713,0.000713,0.000713
67,15841.2,1.06626,0.57566,1.05749,0.8625,0.8125,0.82495,0.53708,1.35999,0.82174,1.28604,0.0006932,0.0006932,0.0006932
68,16093.7,1.00164,0.56356,1.03404,0.85843,0.77083,0.81932,0.53822,1.30934,0.81222,1.28105,0.0006734,0.0006734,0.0006734
69,16335.6,1.05154,0.56219,1.06236,0.84475,0.8125,0.80593,0.53514,1.29746,0.76069,1.26616,0.0006536,0.0006536,0.0006536
70,16587,1.02773,0.543,1.04899,0.84543,0.84375,0.84407,0.54159,1.32719,0.83148,1.27178,0.0006338,0.0006338,0.0006338
71,16839,0.98732,0.54491,1.03393,0.89519,0.80077,0.82845,0.54215,1.32715,0.85647,1.28557,0.000614,0.000614,0.000614
72,17083.9,0.98156,0.53791,1.01208,0.866,0.77083,0.80881,0.53796,1.34771,0.82754,1.30779,0.0005942,0.0005942,0.0005942
73,17335.8,0.97851,0.52549,1.03975,0.863,0.79167,0.8228,0.55253,1.28715,0.82827,1.2928,0.0005744,0.0005744,0.0005744
74,17586.5,0.96651,0.52534,1.02514,0.87233,0.80208,0.82633,0.55176,1.29443,0.8407,1.29079,0.0005546,0.0005546,0.0005546
75,17836.9,0.96067,0.52115,1.02406,0.88747,0.79167,0.82104,0.55022,1.29207,0.82215,1.29298,0.0005348,0.0005348,0.0005348
76,18088.4,0.97951,0.53606,1.02283,0.87587,0.80856,0.83846,0.55693,1.29457,0.7938,1.29142,0.000515,0.000515,0.000515
77,18339.4,0.94656,0.51005,1.01014,0.9049,0.77083,0.82315,0.53831,1.31576,0.7835,1.28884,0.0004952,0.0004952,0.0004952
78,18591.2,0.94384,0.5059,0.98785,0.86047,0.82292,0.82755,0.55481,1.32675,0.82198,1.30616,0.0004754,0.0004754,0.0004754
79,18841.3,0.9066,0.50612,0.99508,0.87322,0.8125,0.82046,0.5612,1.33476,0.83062,1.3304,0.0004556,0.0004556,0.0004556
80,19092,0.92523,0.50041,1.00969,0.88538,0.80465,0.83127,0.54817,1.30242,0.81232,1.31378,0.0004358,0.0004358,0.0004358
81,19341.4,0.92274,0.50351,1.02272,0.8399,0.76508,0.79281,0.535,1.31798,0.82284,1.31229,0.000416,0.000416,0.000416
82,19590.2,0.94806,0.50652,1.02451,0.83465,0.78876,0.79695,0.53928,1.30647,0.82819,1.29587,0.0003962,0.0003962,0.0003962
83,19842.5,0.91503,0.50353,0.97727,0.84828,0.81536,0.82673,0.55347,1.27594,0.81069,1.28144,0.0003764,0.0003764,0.0003764
